Botanical correlations,Status of correlation,Discussions on its identity by experts with reference,S. No,English,Sanskrit,Diacritical
Urginea indica Kunth.,Accepted source,Kolakanda' has been mentioned in Raja nighantu and identified with this species,659,Kolakanda,कोलकन्द,kolakanda
Garcinia cowa Roxb.,A-C,It has been identified with this species in Bihar,660,Kosamra,कोशाम्र,kośāmra
Schleichera oleosa (Lour) oken.,,,660,Kosamra,कोशाम्र,kośāmra
Schleichera oleosa (Lour.) Oken.,,,660,Kosamra,कोशाम्र,kośāmra
Luffa acutangula (Linn.) Roxb.,,,661,Kosataki,कोशातकी,kośātakī
Luffa acutangula (Linn.) Roxb.var.amara Clarke,Suggested source 1,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa acutangula Roxb.,Suggested source 2,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa cylindrica (Linn.) M. Roem.,Suggested source 3,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa echinata Roxb.,Suggested source 4,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa sp.,Accepted source,Susruta has mentioned four types of Kosataki; All the four are identified with this species,661,Kosataki,कोशातकी,kośātakī
Luffa acutangula (Linn.) Roxb.,,,661,Kosataki,कोशातकी,kośātakī
Luffa acutangula (Linn.) Roxb.var.amara Clarke,Suggested source 1,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa acutangula Roxb.,Suggested source 2,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa cylindrica (Linn.) M. Roem.,Suggested source 3,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa echinata Roxb.,Suggested source 4,Identified with it,661,Kosataki,कोशातकी,kośātakī
Luffa sp.,Accepted source,Susruta has mentioned four types of Kosataki; All the four are identified with this species,661,Kosataki,कोशातकी,kośātakī
Luffa sp.,Accepted source,Susruta has mentioned four types of Kosataki; All the four are identified with this species,662,Kosataki catustaya,कोशातकी चतुष्टय,kośātakī catuṣṭaya
Luffa sp.,Accepted source,Susruta has mentioned four types of Kosataki; All the four are identified with this species,662,Kosataki catustaya,कोशातकी चतुष्टय,kośātakī catuṣṭaya
Bauhinia purpurea Linn.,Accepted source,Identified with this species,663,Kovidara,कोविदार,kovidāra
Bauhinia purpurea Linn.,Suggested source,Suggested to use this species as Kovidara,663,Kovidara,कोविदार,kovidāra
Bauhinia variegata,Accepted source,Kovidara is correlated to this species,663,Kovidara,कोविदार,kovidāra
Bauhinia variegata Linn.,Suggested source,Suggested to use this species as Kovidara,663,Kovidara,कोविदार,kovidāra
Arcea catechu,Accepted source,Kramuka is identified with this species,664,Kramuka,क्रमुक,kramuka
Lagerstroemia speciosa Pers.,,,664,Kramuka,क्रमुक,kramuka
Morus indica,Suggested source,Kramuka is found to be a synonym of Tuda in the nighantus but its clinical usage is nowhere mentioned in the Samhitas; As identification of Kramuka is not established Tuda bark may be used instead of Kramuka,664,Kramuka,क्रमुक,kramuka
Cyperus articulatus Linn.,Most probable,May be identified with it,665,Krauncadana,क्रौञ्चादन,krauñcādana
Cyperus esculentus Linn.,Most probable,May be identified with it,665,Krauncadana,क्रौञ्चादन,krauñcādana
Scirpus articulatus Linn.,Most probable,May be identified with it,665,Krauncadana,क्रौञ्चादन,krauñcādana
Scirpus corymbosus Heyne.,Most probable,May be identified with it,665,Krauncadana,क्रौञ्चादन,krauñcādana
Scirpus articulatus Linn.,Most probable,May be identified with it,666,Krauncadana - bheda,क्रौञ्चादन भेद,krauñcādana bheda
Ipomoea nil (Linn.) Roth.,,,667,Krsnabija,कृष्णबीज,kṛṣṇabīja
Carum bulbocastanum W. Koch.,,,668,Krsnajiraka,कृष्णजीरका,kṛṣṇajīrakā
Carum bulbocastanum W. Koch.,Accepted source,Identified with this species,668,Krsnajiraka,कृष्णजीरका,kṛṣṇajīrakā
Carum carvi Linn.,,,668,Krsnajiraka,कृष्णजीरका,kṛṣṇajīrakā
Elaeodendron glaucum Pers.,Accepted source,Identified with this species,669,Krsnamuskaka,कृष्णमुष्कक,kṛṣṇamuṣkaka
Cryptolepis buchanani Roem. & Schult.,Accepted source,Identified with this species,670,Krsnasariva,कृष्णसारिवा,kṛṣṇasārivā
Cardiospermum sp.,Controversial,Krtavedhana has sometimes been identified with Malakangani which is correlated to Cardiospermum species. Some might use this as a substitute in regard with its features and medicinal use.,671,Krtavedhana,कृतवेधन,kṛtavedhana
Luffa acutangula (Linn) Roxb.,,,671,Krtavedhana,कृतवेधन,kṛtavedhana
Luffa acutangula (Linn.) Roxb.var.amara Clarke,Accepted source,Identified with it,671,Krtavedhana,कृतवेधन,kṛtavedhana
Brassica juncea (Linn.) Czern. and Coss.,Controversial,This species has property like that of Ksavaka hence used in its place,672,Ksavaka,क्षवक,kṣavaka
Brassica nigra (Linn.) Koch.,Controversial,This species has property like that of Ksavaka hence used in its place,672,Ksavaka,क्षवक,kṣavaka
Centipeda minima (Linn.) A. Br. & Aschers.,Accepted source,Identified with this species,672,Ksavaka,क्षवक,kṣavaka
Centipeda minima (Linn.) A. Br. et Aschers,Controversial,This species has property like that of Ksavaka hence used in its place,672,Ksavaka,क्षवक,kṣavaka
Centipeda minima (Linn.) A.Br. & Aschers.,,,672,Ksavaka,क्षवक,kṣavaka
Roscoea procera Wall.,Controversial,Tuberous roots of this species are being used as Ksirakakoli,673,Ksirakakoli,क्षीरकाकोली,kṣīrakākolī
Pentatropis sp.,Accepted source,"Ksiranadi' has been cited in Sodala nighantu; In Samhitas it was mentioned as Payasya, Ksirini etc; Its identified with this species",674,Ksiranadi,क्षीरनाडी,kṣīranāḍī
Allium wallichii Kunth.,Accepted source,Ksirapalandu' is mentioned only once in Susruta samhita as 'Palandu'; Dalhana in his commentary explains that the 'Palandu' which is milky and sweet in taste is known as 'Ksirapalandu'; It is identified with this species,675,Ksirapalandu,क्षीरपलाण्डु,kṣīrapalāṇḍu
Liliaceae,Suggested source,Considered as some bulbous orchid,675,Ksirapalandu,क्षीरपलाण्डु,kṣīrapalāṇḍu
Orchid - bulbuous,?,?,675,Ksirapalandu,क्षीरपलाण्डु,kṣīrapalāṇḍu
Manilkara hexandra Roxb.,,,676,Ksirika,क्षीरिका,kṣīrikā
Mimusops hexandra Roxb.,Most probable,According to Dalhana it is Mimusops hexandra,676,Ksirika,क्षीरिका,kṣīrikā
Centipeda orbicularis,Suggested source,Has been mentioned in Sodala nighantu; Vaidya Bapalal has identified it with this species but with regard to its synonyms it seems to be a different species and hence needs to be studied,677,Ksutkari,क्षुतकरी,kṣutakarī
Radermachera xylocarpa,Accepted source,It is identified with this species,678,Kuberaksi,कुबेराक्षी,kuberākṣī
Rosa moschata Herrm.,Accepted source,Considered as a species of Rose,679,Kubjaka,कुब्जक,kubjaka
Strychnos nuxvomica Linn.,Accepted source,Kucala is identified with this species,680,Kucala,कुचला,kucalā
Caesalpinia sappan Linn.,Accepted source,Is a variety of Candana and identified with this species,681,Kucandana,कुचन्दन,kucandana
Momordica tuberosa (Roxb.) Cogn.,Accepted source,In Raja nighantu it has been mentioned as a variety of Trapusa; Botanists from Bangalore have identified it with this species; This species has all the features and properties as mentioned in the ancient texts,682,Kuduhunci,कुडुहूञ्ची,kuḍuhūñcī
Chlorophytum sp.,Suggested source,"In Astanga sangraha, Kukkuti has been described in the chapter of Rasayana (rejuvenatives) after the explanation of Lasuna (garlic) and Palandu (onion); Kukkuti is mentioned in Susruta samhita and Astanga hrdaya; Based on the description given by Dalhana the author has suggested this species",684,Kukkuti,कुक्कुटी,kukkuṭī
Fritillaria sp.,Suggested source,"In Astanga sangraha, Kukkuti has been described in the chapter of Rasayana (rejuvenatives) after the explanation of Lasuna (garlic) and Palandu (onion); Kukkuti is mentioned in Susruta samhita and Astanga hrdaya; Some of them consider it to be a type of lasuna which is correlated to this species",684,Kukkuti,कुक्कुटी,kukkuṭī
Polygonum sp.,Suggested source,"In Astanga sangraha, 'Kukkuti' has been described in the chapter of Rasayana (rejuvenatives) after the explanation of 'Lasuna' (garlic) and 'Palandu' (onion); 'Kukkuti' is mentioned in Susruta samhita and Astanga hrdaya; Some of them consider it to be a type of lasuna which is correlated to this species",684,Kukkuti,कुक्कुटी,kukkuṭī
Chlorophytum sp.,Suggested source,"In Astanga sangraha, Kukkuti has been described in the chapter of Rasayana (rejuvenatives) after the explanation of Lasuna (garlic) and Palandu (onion); Kukkuti is mentioned in Susruta samhita and Astanga hrdaya; Based on the description given by Dalhana the author has suggested this species",684,Kukkuti,कुक्कुटी,kukkuṭī
Fritillaria sp.,Suggested source,"In Astanga sangraha, Kukkuti has been described in the chapter of Rasayana (rejuvenatives) after the explanation of Lasuna (garlic) and Palandu (onion); Kukkuti is mentioned in Susruta samhita and Astanga hrdaya; Some of them consider it to be a type of lasuna which is correlated to this species",684,Kukkuti,कुक्कुटी,kukkuṭī
Polygonum sp.,Suggested source,"In Astanga sangraha, 'Kukkuti' has been described in the chapter of Rasayana (rejuvenatives) after the explanation of 'Lasuna' (garlic) and 'Palandu' (onion); 'Kukkuti' is mentioned in Susruta samhita and Astanga hrdaya; Some of them consider it to be a type of lasuna which is correlated to this species",684,Kukkuti,कुक्कुटी,kukkuṭī
Fritillaria roylei Hook.,Most probable,This species is taken into consideration as it has resemblance to features described in the texts,683,Kukkuta,कुक्कुट,kukkuṭa
Polygonum affine Don.,Most probable,This species is taken into consideration as it has resemblance to features described in the texts,683,Kukkuta,कुक्कुट,kukkuṭa
Fritillaria roylei Hook.,Most probable,This species is taken into consideration as it has resemblance to features described in the texts,683,Kukkuta,कुक्कुट,kukkuṭa
Polygonum affine Don.,Most probable,This species is taken into consideration as it has resemblance to features described in the texts,683,Kukkuta,कुक्कुट,kukkuṭa
Blumea lacera DC.,,,685,Kukundara,कुकुन्दर,kukundara
Blumea balsamifera DC.,,,686,Kukundara - prajati,कुकुन्दर प्रजाति,kukundara prajāti
Blumea densiflora DC.,,,686,Kukundara - prajati,कुकुन्दर प्रजाति,kukundara prajāti
Blumea erientha DC.,,,686,Kukundara - prajati,कुकुन्दर प्रजाति,kukundara prajāti
Blumea lacera DC.,Accepted source,Identified with it; It is mentioned in Madhavadravya guna; In Bhavaprakasa it is known by the name 'Kukundara',687,Kukurunda,कुकुरुन्द,kukurunda
Blumea balsmifera DC.,Most probable,"According to Desai, Kulahala is called as Kalahada in Gujrat which is correlated to this species",688,Kulahala,कुलाहल,kulāhala
Blumea lacera DC.,Most probable,"According to Desai, Kulahala is called as Kalahada in Gujrat which is correlated to this species",688,Kulahala,कुलाहल,kulāhala
Blumea sp.,Most probable,Dalhana has identified it with Mundika which is correlated to Sphaeranthus species,688,Kulahala,कुलाहल,kulāhala
Sphaeranthus sp.,Accepted source,"Kulahala has been mentioned in Susruta samhita, Astanga hridaya but nowhere mentioned in Caraka samhita; Dalhana has interpreted it as 'Munditaka'; Based on this it should be considered as 'Mundi' which is identified with this species",688,Kulahala,कुलाहल,kulāhala
Sphaeranthus sp.,Most probable,Others have identified it with Kukurasunga which is correlated to Blumea species,688,Kulahala,कुलाहल,kulāhala
Trichosanthes anguina Linn.,Most probable,Kulaka is usually identified with Patola or its variety which is correated to this species,689,Kulaka,कुलक,kulaka
Trichosanthes cucumerina Linn.,Most probable,Kulaka is usually identified with Patola or its variety which is correated to this species,689,Kulaka,कुलक,kulaka
Trichosanthes dioica Roxb.,Most probable,Kulaka is usually identified with Patola or its variety which is correated to this species,689,Kulaka,कुलक,kulaka
Trichosanthes sp.,Accepted source,"Kulaka' is not mentioned in Susruta samhita but mentioned in Caraka samhita and Astanga hridaya; Cakrapani has interpreted it as 'Karavellaka' and 'Patolabheda', Arunadatta as 'Kakatinduka'; In Amarakosha and Bhavaprakasha it is given as the synonym of 'Kakatinduka' and 'Patola'; It should be considered as a variety of 'Patola' which is identified with this species",689,Kulaka,कुलक,kulaka
Alpinia galanga Willd.,Accepted source,Raja nighantu has explained 'Kulanjana' in detail where as Bhavaprakasa explained it by the name 'Mahabharivaca'; It is identified by this species,690,Kulanjana,कुलञ्जन,kulañjana
Cassia absus Linn.,Accepted source,Identified with this species,691,Kulattha,कुलत्थ,kulattha
Dolichos biflorus Linn.,,,691,Kulattha,कुलत्थ,kulattha
Dolichos biflorus Linn.,Accepted source,Identified with it,691,Kulattha,कुलत्थ,kulattha
Cassia absus Linn.,Most probable,"In the Nighantus, Kulatthika has been named as Caksusya which is correlated to Cassia absus",692,Kulatthika,कुलत्थिका,kulatthikā
Dolichos falcatus Linn.,Most probable,May be identified with this species,692,Kulatthika,कुलत्थिका,kulatthikā
Mushroom,Suggested source,Is a variety of mushroom,693,Kulecara,कुलेचर,kulecara
Amaranthus paniculatus Linn.,Accepted source,Caraka Samhita mentions it under the Sakavarga (leafy vegetables); Cakrapani has mentioned 'Kumarajiva' as 'Jivasaka' which shows that 'Jivanta' and 'Kumarajiva' are one and the same; This species is identified as 'Kumarajiva' and 'Jivanta',694,Kumarajiva,कुमारजीव,kumārajīva
Aloe variegata Linn.,,,695,Kumari,कुमारी,kumārī
Aloe vera Tourn. ex Linn.,,,695,Kumari,कुमारी,kumārī
Careya herbacea Roxb.,Accepted source,Mentioned in Paryayaratnamala; Its regional name has been mentioned as 'Kumbhadu'; It might be the smaller variety of Kumbhi which is identified with this species,696,Kumbhata,कुम्भाट,kumbhāṭa
Careya arborea Roxb.,Accepted source,Identified with it; Mentioned in Raja nighantu,697,Kumbhi,कुम्भि,kumbhi
Careya arborea Roxb.,Most probable,Careya arborea is identified as Kumbhi. Kumbhi has also been used as a substitute for Patala and Katphala and hence the confusion.,697,Kumbhi,कुम्भि,kumbhi
Pistia stratiotes Linn.,Controversial,"It is correlated to this species as Dalhana has given the name Variparni which is commonly known as Jalakumbhi for Kumbhika in his comments, but this is considered as a tree",698,Kumbhika,कुम्भिका,kumbhikā
Nymphaea alba Linn.,Accepted source,Identified with it,699,Kumuda,कुमुद,kumuda
Nymphaea nouchali Burm. f.,,,699,Kumuda,कुमुद,kumuda
Nymphaea nouchali Burm.f.,,,699,Kumuda,कुमुद,kumuda
Nymphoea alba Linn.,,,699,Kumuda,कुमुद,kumuda
Nymphaea stellata Willd.,,,700,Kumuda - prajati,कुमुद प्रजाति,kumuda prajāti
Digeria muricata (Linn.) Mart.,Accepted source,Identified with it,701,Kunanjara,कुणञ्जर,kuṇañjara
Cinchona calisaya Wedd.,,,703,Kunayana - prajati,कुनयन प्रजाति,kunayana prajāti
Cinchona succirubra Pav. ex Klotzsch,,,703,Kunayana - prajati,कुनयन प्रजाति,kunayana prajāti
Cinchona calisaya Wedd.,,,703,Kunayana - prajati,कुनयन प्रजाति,kunayana prajāti
Cinchona succirubra Pav. ex Klotzsch,,,703,Kunayana - prajati,कुनयन प्रजाति,kunayana prajāti
Cinchona officinalis Linn.,,,702,Kunayana,कुनयन,kunayana
Cinchona officinalis Linn.,,,702,Kunayana,कुनयन,kunayana
Trigonella foenum graecum Linn.,Most probable,Considered similar to Methi which is correlated to this species,704,Kuncika,कुञ्चिका,kuñcikā
Jasmimum arborescens Roxb.,Most probable,"Vasanti, Navamallika and Naipali are considered by many to be the names of a variety of Kunda which is identified as this species",706,Kunda - bheda,कुन्द भेद,kunda bheda
Jasmimum arborescens Roxb.,Most probable,"Vasanti, Navamallika and Naipali are considered by many to be the names of a variety of Kunda which is identified as this species",706,Kunda - bheda,कुन्द भेद,kunda bheda
Jasminum multiflorum Andr.,Accepted source,Identified with it,705,Kunda,कुन्द,kunda
Jasminum multiflorum Andr.,Accepted source,Identified with it,705,Kunda,कुन्द,kunda
Boswellia serrata Roxb.,Accepted source,Is the gum of Boswellia serrata,707,Kunduru,कुन्दुरु,kunduru
Crocus sativus Linn.,,,708,Kunkuma,कुङ्कुम,kuṅkuma
Crocus sativus Linn.,Accepted source,Identified with it,708,Kunkuma,कुङ्कुम,kuṅkuma
Euonymus tingens Wall.,Substituted source,With regard to its uses this can serve as a substitute,708,Kunkuma,कुङ्कुम,kuṅkuma
Corchorum sp. .,Accepted source,Based on the description given by Dalhana it is identified with this species,710,Kuntalika,कुन्तलिका,kuntalikā
Corchorum sp. .,Accepted source,Based on the description given by Dalhana it is identified with this species,710,Kuntalika,कुन्तलिका,kuntalikā
Corchorus sp.,Most probable,Kuntali may be Kuntalika mentioned in Susruta which according to Dalhana is similar to Cuccu which may be a Corchorus species,709,Kuntali,कुन्तली,kuntalī
Corchorus sp.,Most probable,Kuntali may be Kuntalika mentioned in Susruta which according to Dalhana is similar to Cuccu which may be a Corchorus species,709,Kuntali,कुन्तली,kuntalī
Strychnos nuxvomica Linn.,,,711,Kupilu,कुपीलु,kupīlu
Erythrina sp.,Substituted source,Needs to be studied whether this species can be used as a substitute,712,Kurabaka,कुरबक,kurabaka
Osmanthus sp.,Substituted source,Needs to be studied whether this species can be used as a substitute,712,Kurabaka,कुरबक,kurabaka
Rhododendron arboreum Sm.,Suggested source,This species is tentatively suggested to be used as Kurabaka,712,Kurabaka,कुरबक,kurabaka
Rhododendron barbatum Wall. ex Don,Suggested source,This species is tentatively suggested to be used as Kurabaka,712,Kurabaka,कुरबक,kurabaka
Celosia argentea Linn.,Accepted source,Identified with it,713,Kurantika,कुरण्टिक,kuraṇṭika
Panicum miliare,,,714,Kuri,कुरी,kurī
Panicum miliare,,,714,Kuri,कुरी,kurī
Panicum psilopodium Trin. var. coloratum Hook.f.,Accepted source,Its identified with this species,715,Kuri - prakara,कुरी प्रकार,kurī prakāra
Panicum psilopodium Trin. var. Psilopodium.,Accepted source,Its identified with this species,715,Kuri - prakara,कुरी प्रकार,kurī prakāra
Panicum psilopodium Trin. var. coloratum Hook.f.,Accepted source,Its identified with this species,715,Kuri - prakara,कुरी प्रकार,kurī prakāra
Panicum psilopodium Trin. var. Psilopodium.,Accepted source,Its identified with this species,715,Kuri - prakara,कुरी प्रकार,kurī prakāra
Calosia argentea Linn. .,Accepted source,Identified with this species,716,Kuruntika,कुरुण्टिक,kuruṇṭika
Desmostachya bipinnata Stapf,Accepted source,Identified with it,717,Kusa,कुश,kuśa
Desmostachya bipinnata Stapf.,,,717,Kusa,कुश,kuśa
Desmostachya bipinnata Stapf.,Accepted source,Identified with this species,717,Kusa,कुश,kuśa
Desmostachya bipinnata Stapf,Accepted source,Identified with it,717,Kusa,कुश,kuśa
Desmostachya bipinnata Stapf.,,,717,Kusa,कुश,kuśa
Desmostachya bipinnata Stapf.,Accepted source,Identified with this species,717,Kusa,कुश,kuśa
Imperata cylindrica Beauv.,,,718,Kusa - bheda,कुश भेद,kuśa bheda
Imperata cylindrica Beauv.,,,718,Kusa - bheda,कुश भेद,kuśa bheda
Dalbergia sissoides Grah.,Most probable,Kusimsipa' has been mentioned in 'Nighantusesha' as a type of 'Simsapa'; There is a mention of it even in Kaideva nighantu; It may be correlated to this species as the colour of the pithwood is slightly lighter when compared to Simsapa,719,Kusimsipa,कुशिंशपा,kuśiṃśapā
Benincasa hispida (Thunb.) Cogn.,,,720,Kusmanda,कूष्माण्ड,kūṣmāṇḍa
Benincasa hispida (Thunb.) Cogn.,Accepted source,Identified with it,720,Kusmanda,कूष्माण्ड,kūṣmāṇḍa
Cucurbita pepo F. I.,Accepted source,Identified with it,720,Kusmanda,कूष्माण्ड,kūṣmāṇḍa
Cucurbita pepo Linn.,Accepted source,Identified with it,720,Kusmanda,कूष्माण्ड,kūṣmāṇḍa
Saussurea lappa C. B. Clarke,Accepted source,Identified with it,721,Kustha,कुष्ठ,kuṣṭha
Saussurea lappa C. B. Clarke.,,,721,Kustha,कुष्ठ,kuṣṭha
Saussurea lappa C.B. Clarke.,Accepted source,It is presently identified with this species,721,Kustha,कुष्ठ,kuṣṭha
Sausurea lappa C-B-Clerke.,?,?,721,Kustha,कुष्ठ,kuṣṭha
Carthamus tinctorius Linn.,Accepted source,Identified with it,723,Kusumbha,कुसुम्भ,kusumbha
Holarrena antidysenterica (Linn.) Wall.,Accepted source,Identified with this species,727,Kutaja - punkutaja,कुटज पुंकुटज,kuṭaja puṃkuṭaja
Holarrena antidysenterica (Linn.) Wall.,Accepted source,Identified with this species,727,Kutaja - punkutaja,कुटज पुंकुटज,kuṭaja puṃkuṭaja
Holarrena antidysenterica (Linn.) Wall.,Accepted source,Identified with this species,727,Kutaja - punkutaja,कुटज पुंकुटज,kuṭaja puṃkuṭaja
Holarrena antidysenterica (Linn.) Wall.,Accepted source,Identified with this species,727,Kutaja - punkutaja,कुटज पुंकुटज,kuṭaja puṃkuṭaja
Holarrhena antidysenterica (Linn.) Wall.,,,724,Kutaja,कुटज,kuṭaja
Holarrhena antidysenterica Wall.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Wrightia tinctoria R. Br.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Holarrhena antidysenterica (Linn.) Wall.,,,724,Kutaja,कुटज,kuṭaja
Holarrhena antidysenterica Wall.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Wrightia tinctoria R. Br.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Holarrhena antidysenterica (Linn.) Wall.,,,724,Kutaja,कुटज,kuṭaja
Holarrhena antidysenterica Wall.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Wrightia tinctoria R. Br.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Holarrhena antidysenterica (Linn.) Wall.,,,724,Kutaja,कुटज,kuṭaja
Holarrhena antidysenterica Wall.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Wrightia tinctoria R. Br.,Accepted source,Identified with it,724,Kutaja,कुटज,kuṭaja
Wrightia tomentosa Roem. & Schult.,,,725,Kutaja - jati,कुटज जाति,kuṭaja jāti
Wrightia tomentosa Roem. & Schult.,,,725,Kutaja - jati,कुटज जाति,kuṭaja jāti
Wrightia tomentosa Roem. & Schult.,,,725,Kutaja - jati,कुटज जाति,kuṭaja jāti
Wrightia tomentosa Roem. & Schult.,,,725,Kutaja - jati,कुटज जाति,kuṭaja jāti
Wrightia tomentosa Roem. & Schult.,Accepted source,Identified with it,728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia tomentosa Roem. & Schult.,Accepted source,"In Caraka samhita, 'Kutaja' has been mentioned of two types-Stri (female) and Purusha (male); Dalhana has interpreted it similarly; 'Strikutaja' is identified with this species",728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia tomentosa Roem. & Schult.,Accepted source,Identified with it,728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia tomentosa Roem. & Schult.,Accepted source,"In Caraka samhita, 'Kutaja' has been mentioned of two types-Stri (female) and Purusha (male); Dalhana has interpreted it similarly; 'Strikutaja' is identified with this species",728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia tomentosa Roem. & Schult.,Accepted source,Identified with it,728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia tomentosa Roem. & Schult.,Accepted source,"In Caraka samhita, 'Kutaja' has been mentioned of two types-Stri (female) and Purusha (male); Dalhana has interpreted it similarly; 'Strikutaja' is identified with this species",728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia tomentosa Roem. & Schult.,Accepted source,Identified with it,728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia tomentosa Roem. & Schult.,Accepted source,"In Caraka samhita, 'Kutaja' has been mentioned of two types-Stri (female) and Purusha (male); Dalhana has interpreted it similarly; 'Strikutaja' is identified with this species",728,Kutaja - stri,कुटज स्त्री,kuṭaja strī
Wrightia coccinea Sims.,,,726,Kutaja - prajati,कुटज प्रजाति,kuṭaja prajāti
Wrightia tinctoria R. Br.,,,726,Kutaja - prajati,कुटज प्रजाति,kuṭaja prajāti
Pentatropis sp.,Most probable,Kutumbini' has been cited in Raja nighantu; With regard to its properties and morphology its most probably a variety of 'Payasya' which is identified with this species,729,Kutumbini,कुटुम्बिनी,kuṭumbinī
Garcinia cowa Roxb.,Most probable,Likely to be considered as the fruit of Garcinia cowa which is called as Cova or Kusuma in Bihar,730,Kuvala,कुवल,kuvala
Schleichera oleosa (Lour.) Merr.,Accepted source,Identified with it,730,Kuvala,कुवल,kuvala
Girardenia heterophylla,Suggested source,According to the author Kathobhatt it is identified with this species and needs to be studied,731,Laghukacchu,लघुकच्छू,laghukacchū
Mucuna sp.,Most probable,Vaidya Bapalal considers it to be a variety of 'Kapikacchu' and so most probably it can be identified with this species,731,Laghukacchu,लघुकच्छू,laghukacchū
Mimosa pudica Linn.,,,732,Lajjalu,लज्जालु,lajjālu
Mimosa pudica Linn. Var. hispida Brenan.,,,733,Lajjalu - prajati,लज्जालु प्रजाति,lajjālu prajāti
Mimosa pudica Linn. Var. tetranda DC.,,,733,Lajjalu - prajati,लज्जालु प्रजाति,lajjālu prajāti
Mimosa pudica Linn. Var. unijuga Griseb.,,,733,Lajjalu - prajati,लज्जालु प्रजाति,lajjālu prajāti
Aralia quinquefolia,Most probable,Taken into consideration as Laksmana as this species posseses similar fertility efficiency,734,Laksmana,लक्ष्मणा,lakṣmaṇā
Aralia quinquefolia,Suggested source,"With regard to its properties, Thakur Balwant Singh has correlated 'Laksmana' to many species; Aralia quinquefolia is one of the suggested species",734,Laksmana,लक्ष्मणा,lakṣmaṇā
Cynoglossum lanceolatum Forsk.,Most probable,"With regard to its referances in the texts, the following things can be resolved; Its morphology wasn’t described in the Brhatrayis but there was a mention of its pumsavana karma (…….) and it being included in the 'Saka varga' (group of vegetables) which shows it was a very well known drug; Earlier medieval texts have described its leaves having a shape resembling a child on it; Later medieval texts have mentioned its stem resembling a child; Considering the above the real 'Laksmana' became conspicous and other plants were substituted in its place; Vaidya Bapalal has suggested this species as 'Laksmana' as its used in pumsavana and has similar features as mentioned in the texts",734,Laksmana,लक्ष्मणा,lakṣmaṇā
Ipomoea sepiaria Koen.,Controversial,"With regard to its properties, Thakur Balwant Singh has correlated Laksmana to many species; Ipomoea sepiaria is one of the suggested species",734,Laksmana,लक्ष्मणा,lakṣmaṇā
Ipomoea sepiaria Koen.,Most probable,Taken into consideration as Laksmana as this species posseses similar fertility efficiency,734,Laksmana,लक्ष्मणा,lakṣmaṇā
Ipomoea sepiaria Roxb.,Controversial,"With regard to its properties, Thakur Balwant Singh has correlated Laksmana to many species; Ipomoea sepiaria is one of the suggested species",734,Laksmana,लक्ष्मणा,lakṣmaṇā
Lasia spinos Thwaites.,Controversial,"With regard to its properties, Thakur Balwant Singh has correlated Laksmana to many species; Lasia spinos is one of the suggested species",734,Laksmana,लक्ष्मणा,lakṣmaṇā
Lasia spinosa Thwaites,Most probable,Taken into consideration as Laksmana as this species posseses similar fertility efficiency,734,Laksmana,लक्ष्मणा,lakṣmaṇā
Mandragora autumnalis Spreng.,Controversial,"With regard to its properties, Thakur Balwant Singh has correlated Laksmana to many species; Mandragora autumnalis is one of the suggested species",734,Laksmana,लक्ष्मणा,lakṣmaṇā
Mandragora autumnalis spreng.,Most probable,Taken into consideration as Laksmana as this species posseses similar fertility efficiency,734,Laksmana,लक्ष्मणा,lakṣmaṇā
Remusatia vivipara Schott.,Controversial,"With regard to its properties, Thakur Balwant Singh has correlated 'Laksmana' to many species; Remusatia vivipara is one of the suggested species",734,Laksmana,लक्ष्मणा,lakṣmaṇā
Remusatia vivipara Schott.,Most probable,Taken into consideration as Laksmana as this species posseses similar fertility efficiency,734,Laksmana,लक्ष्मणा,lakṣmaṇā
Solanum xanthocarpum Schrad. & Wendle.,Substituted source,With regard to its similarity in features this species is considered as its substitute,734,Laksmana,लक्ष्मणा,lakṣmaṇā
Artocarpus lakoocha Roxb.,,,735,Lakuca,लकुच,lakuca
Artocarpus lakoocha Roxb.,,,735,Lakuca,लकुच,lakuca
Artocarpus lakoocha Roxb.,Accepted source,Identified with it,735,Lakuca,लकुच,lakuca
